preco,categoria,tipo,valor_condominio,area,quartos,banheiros,vagas,detalhes_imovel,cep,cidade,bairro,rua,detalhes_condominio
300523.0,Apartamentos,Venda - apartamento padrão,290.0,55.0,2.0,0.0,1.0,"Varanda, Área de serviço, Churrasqueira, Piscina",29,Vitória,Jardim Camburi,Avenida Governador Eurico Rezende,"Elevador, Portaria, Piscina, Salão de festas"
249900.0,Apartamentos,Venda - apartamento padrão,285.0,73.0,3.0,2.0,1.0,"Área de serviço, Armários na cozinha",24,Vitória,Jardim Camburi,Avenida dos Expedicionários,Permitido animais
350000.0,Apartamentos,Venda - apartamento padrão,0.0,62.0,2.0,2.0,1.0,"Varanda, Área de serviço",23,Vitória,Jardim da Penha,Rua Arthur Czartoryski,Elevador
1100000.0,Apartamentos,Venda - apartamento padrão,0.0,108.0,3.0,0.0,0.0,"Churrasqueira, Piscina",2545,Vitória,Enseada do Suá,Rua José Alexandre Buaiz,
300000.0,Apartamentos,Venda - apartamento padrão,250.0,55.0,2.0,2.0,1.0,"Armários embutidos, Varanda, Armários na cozinha, Área de serviço",,Vitória,Jardim Camburi,Rua Carlos Delgado Guerra Pinto,
780000.0,Apartamentos,Venda - apartamento padrão,600.0,110.0,2.0,2.0,2.0,"Varanda, Churrasqueira, Piscina, Salão de festas",23,Vitória,Jardim Camburi,Rua Doutor João Batista Miranda Amaral,
501999.0,Apartamentos,Venda - apartamento padrão,0.0,84.0,3.0,2.0,2.0,"Academia, Varanda, Área de serviço, Churrasqueira, Piscina",,Vitória,Jardim Camburi,Rua Domingos Póvoa Lemos,
499000.0,Apartamentos,Venda - apartamento padrão,340.0,85.0,3.0,1.0,1.0,,22,Vitória,Jardim da Penha,Rua Francisco Eugênio Mussiello,Condomínio fechado
490000.0,Apartamentos,Venda - apartamento padrão,0.0,0.0,3.0,2.0,2.0,,26,Vitória,Mata da Praia,,
368000.0,Apartamentos,Venda - apartamento padrão,330.0,75.0,3.0,0.0,1.0,"Churrasqueira, Piscina",24,Vitória,Jardim Camburi,Avenida dos Expedicionários,
