preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
269000.0,0.0,59.0,2.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
150000.0,0.0,0.0,2.0,1.0,0.0,Vitória,Joana D'arc,casa_rua,0,1,0,0,0,0,0,0,0
469000.0,280.0,64.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
800000.0,0.0,0.0,3.0,0.0,3.0,Vitória,Jardim Camburi,cobertura,0,0,0,0,0,0,0,0,0
98348.0,0.0,54.0,1.0,1.0,1.0,Vitória,Vila Rubim,apartamento,0,0,0,1,0,0,1,0,1
190.0,0.0,0.0,2.0,0.0,0.0,Vitória,Maruípe,casa_rua,0,0,0,0,0,0,0,0,0
1550000.0,1250.0,147.0,4.0,0.0,3.0,Vitória,Praia do Canto,apartamento,1,0,0,1,1,0,0,0,0
200000.0,0.0,0.0,3.0,3.0,0.0,Vitória,Mário Cypreste,casa_rua,0,0,0,0,0,0,0,0,0
379000.0,200.0,66.0,2.0,2.0,1.0,Vitória,Santa Cecília,apartamento,1,1,0,1,1,0,1,1,1
350000.0,330.0,75.0,3.0,3.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
750000.0,650.0,128.0,3.0,0.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,0,1,0,0,0,0,0
670000.0,0.0,90.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,0,0,1,0
150000.0,0.0,0.0,3.0,2.0,1.0,Vitória,Maruípe,casa_rua,0,0,0,0,0,0,0,0,0
45000.0,0.0,0.0,1.0,1.0,0.0,Vitória,Conquista,casa_rua,0,0,0,0,0,0,0,0,0
350000.0,370.0,66.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,1,1,0,0,1,0
850000.0,700.0,108.0,3.0,4.0,2.0,Vitória,Santa Helena,apartamento,0,0,0,0,0,0,0,0,0
1200000.0,510.0,0.0,5.0,4.0,3.0,Vitória,Jardim Camburi,apartamento,1,0,0,1,0,0,0,0,0
1350000.0,1200.0,190.0,3.0,4.0,3.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,0,0,0
239900.0,280.0,80.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
410000.0,490.0,100.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,0,0,1,0
690000.0,400.0,90.0,3.0,2.0,2.0,Vitória,Mata da Praia,apartamento,1,0,0,1,0,0,0,1,0
290000.0,290.0,59.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,0
390000.0,0.0,0.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,1,1,0,1,1,0
950000.0,730.0,100.0,3.0,2.0,1.0,Vitória,Praia do Canto,apartamento,0,1,0,0,0,0,0,0,0
1090000.0,0.0,0.0,3.0,3.0,2.0,Vitória,Jardim Camburi,casa_rua,0,0,0,0,0,0,0,0,0
230000.0,0.0,0.0,2.0,1.0,0.0,Vitória,Parque Moscoso,apartamento,0,0,0,0,0,0,0,1,0
100000.0,0.0,0.0,5.0,3.0,0.0,Vitória,Centro,casa_rua,1,0,1,0,0,0,0,0,0
365000.0,330.0,56.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,1,1,0,1,1,0
250000.0,280.0,55.0,2.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
295000.0,0.0,0.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,0,0,0
300000.0,350.0,63.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
295000.0,350.0,70.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
495000.0,462.0,74.0,2.0,1.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,0,0,0,0,0,0,0
2400000.0,2000.0,268.0,4.0,0.0,3.0,Vitória,Praia do Canto,apartamento,1,0,0,1,0,0,0,0,0
913125.0,950.0,364.0,4.0,0.0,2.0,Vitória,Mata da Praia,apartamento,1,0,1,1,0,0,0,0,0
510000.0,550.0,113.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
687000.0,0.0,86.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,0,0,1,1,1,1,1,1,1
539565.0,0.0,7662.0,3.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
300000.0,350.0,63.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
510000.0,380000.0,70.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
1500000.0,1350.0,0.0,4.0,4.0,2.0,Vitória,Praia do Canto,apartamento,1,0,0,1,0,0,0,0,0
700000.0,670.0,0.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,0,1,0,0,0,0,0
760000.0,643.0,163.0,3.0,3.0,1.0,Vitória,Mata da Praia,apartamento,0,1,1,0,0,0,1,1,0
1500000.0,0.0,0.0,3.0,1.0,1.0,Vitória,Segurança do Lar,casa_rua,0,0,0,0,0,0,0,0,0
240000.0,320.0,0.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
3000000.0,0.0,0.0,4.0,5.0,4.0,Vitória,Fradinhos,casa_rua,1,0,1,1,0,0,0,0,0
479000.0,250.0,69.0,2.0,2.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,1,0
170000.0,0.0,0.0,1.0,2.0,0.0,Vitória,Redenção,casa_rua,0,0,0,0,0,0,0,0,0
290000.0,272.0,68.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,0,0
585000.0,450.0,90.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
350000.0,400.0,97.0,3.0,2.0,1.0,Vitória,Mata da Praia,apartamento,1,0,0,0,1,0,0,0,0
535000.0,700.0,125.0,3.0,3.0,1.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,0,0,0
1799000.0,1.0,184.0,4.0,5.0,3.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
520000.0,250.0,80.0,3.0,0.0,1.0,Vitória,Barro Vermelho,apartamento,0,0,1,0,0,0,0,0,0
505000.0,450.0,66.0,2.0,1.0,1.0,Vitória,Mata da Praia,apartamento,0,0,0,0,1,0,0,0,0
880000.0,980.0,198.0,4.0,3.0,1.0,Vitória,Praia do Canto,apartamento,0,1,1,0,1,1,1,1,0
880000.0,980.0,0.0,3.0,3.0,1.0,Vitória,Praia do Canto,apartamento,0,0,1,0,0,0,0,0,0
510000.0,300.0,114.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
500000.0,500.0,77.0,3.0,0.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,0,1,0,0,0,0,0
495000.0,980.0,130.0,3.0,3.0,2.0,Vitória,Santa Helena,apartamento,1,0,1,1,1,1,1,1,0
504000.0,0.0,70.0,2.0,2.0,1.0,Vitória,Praia do Suá,apartamento,1,0,1,1,1,1,1,1,1
750000.0,1000.0,102.0,3.0,0.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,0,1,0,0,0,0,0
25000.0,90.0,12.0,0.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,1,1,1,0
150000.0,50.0,0.0,3.0,2.0,0.0,Vitória,Santa Clara,apartamento,0,0,1,0,0,0,0,0,0
280000.0,0.0,35.0,1.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
5000000.0,1900.0,0.0,3.0,5.0,5.0,Vitória,Praia do Canto,apartamento,1,0,0,1,0,0,0,0,0
485000.0,390.0,63.0,2.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,0,1,1,1,1,1,0,1,0
250000.0,0.0,0.0,3.0,2.0,4.0,Vitória,Nova Palestina,casa_rua,0,0,0,0,0,0,0,0,0
315000.0,250.0,74.0,2.0,0.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,0,1,0,0,0,0,0
527000.0,0.0,64.0,2.0,2.0,1.0,Vitória,Santa Helena,apartamento,0,1,0,1,1,0,1,1,1
239900.0,320.0,65.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,1,1,0,0
271000.0,0.0,46.0,1.0,0.0,1.0,Vitória,Enseada do Suá,apartamento,1,0,1,0,0,0,0,0,0
439900.0,340.0,79.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,0,1,1,0,1,1,1,1,0
300000.0,0.0,0.0,3.0,2.0,0.0,Vitória,Grande Vitória,casa_rua,0,0,0,0,0,0,0,0,0
114371.0,0.0,64.0,2.0,1.0,1.0,Vitória,Vila Rubim,apartamento,0,0,0,0,0,0,0,0,0
1350000.0,950.0,141.0,4.0,0.0,2.0,Vitória,Mata da Praia,apartamento,1,0,0,1,0,0,0,0,0
870000.0,450.0,100.0,3.0,0.0,2.0,Vitória,Praia do Canto,apartamento,1,0,0,1,0,0,0,0,0
449999.0,0.0,74.0,2.0,0.0,1.0,Vitória,Santa Helena,apartamento,0,0,0,0,0,0,0,0,0
135000.0,0.0,0.0,2.0,1.0,1.0,Vitória,Tabuazeiro,casa_rua,0,0,0,0,0,0,0,0,0
730000.0,450.0,140.0,2.0,2.0,2.0,Vitória,Jardim Camburi,cobertura,0,1,1,1,1,0,0,1,0
500000.0,0.0,0.0,3.0,4.0,2.0,Vitória,Mata da Praia,casa_rua,0,0,0,0,0,0,0,0,0
60000.0,0.0,0.0,4.0,4.0,3.0,Vitória,Jardim Camburi,casa_rua,0,0,0,0,0,0,0,0,0
395000.0,300.0,59.0,2.0,1.0,1.0,Vitória,Monte Belo,apartamento,1,0,1,1,1,0,0,0,0
440000.0,0.0,120.0,3.0,2.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,1,0,1,0,0,0,0
320000.0,300.0,67.0,3.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
484472.0,0.0,67.0,2.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
389900.0,450.0,86.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,1,1,1,0
487500.0,420.0,67.0,2.0,2.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,0,0,0,0,0,0,0
450000.0,250.0,180.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,0,0,1,0,0,0,0
2200000.0,1000.0,180.0,4.0,1.0,4.0,Vitória,Praia do Canto,apartamento,1,0,1,0,1,0,0,0,0
370000.0,0.0,62.0,2.0,1.0,2.0,Vitória,Horto,apartamento,1,0,1,1,1,0,0,0,0
476382.0,300.0,70.0,2.0,2.0,1.0,Vitória,Praia do Suá,apartamento,0,0,0,1,1,0,0,0,0
460000.0,0.0,71.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
3535600.0,0.0,226.0,4.0,1.0,4.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
350000.0,280.0,75.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,0,0
240000.0,0.0,65.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
590000.0,430.0,114.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
255000.0,320.0,60.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,0,1,0,0
488000.0,0.0,80.0,1.0,2.0,1.0,Vitória,Ilha de Santa Maria,apartamento,1,0,1,1,1,0,0,0,0
370000.0,0.0,61.0,2.0,1.0,2.0,Vitória,Horto,apartamento,1,0,0,1,1,0,0,0,0
510000.0,600.0,140.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
1560790.0,0.0,112.0,3.0,2.0,4.0,Vitória,Jardim da Penha,apartamento,1,0,1,0,1,0,0,0,0
330000.0,0.0,56.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
300000.0,310.0,72.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
629000.0,400.0,96.0,3.0,2.0,2.0,Vitória,Enseada do Suá,apartamento,0,0,0,0,0,0,0,0,0
306000.0,0.0,54.0,1.0,1.0,1.0,Vitória,Ilha de Santa Maria,apartamento,0,0,1,0,1,0,0,0,0
750000.0,700.0,136.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
90000.0,700.0,0.0,1.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,0,1,0,1,1,1,0
480000.0,340.0,110.0,3.0,2.0,1.0,Vitória,Santa Luíza,apartamento,0,0,0,0,0,0,0,0,0
820000.0,500.0,110.0,2.0,3.0,0.0,Vitória,Jardim da Penha,apartamento,0,1,0,1,1,1,1,1,0
310000.0,400.0,150.0,3.0,3.0,1.0,Vitória,Parque Moscoso,apartamento,0,1,0,0,0,0,0,1,0
760000.0,900.0,108.0,2.0,3.0,2.0,Vitória,Praia do Canto,apartamento,1,1,1,1,1,0,0,1,1
380000.0,0.0,0.0,3.0,3.0,2.0,Vitória,Santa Lúcia,casa_rua,0,0,0,0,0,0,0,0,0
320000.0,0.0,0.0,2.0,1.0,2.0,Vitória,Goiabeiras,casa_rua,0,0,0,0,0,0,0,0,0
400000.0,350.0,88.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,1,0
